seller_id,week,total_orders,on_time_rate,avg_review_score,freight_pct_of_price
8bd0f31cf0a614c658f6763bd02dea69,2017-01-16,2,100.0,4.0,60.63
9baf5cb77970f539089d09a38bcec5c3,2017-01-16,1,100.0,4.0,12.18
9de4643a8dbde634fe55621059d92273,2017-01-16,1,100.0,5.0,7.25
a36ac007a4d18f865c8d32c3b2402c2d,2017-01-16,1,100.0,3.0,12.32
a3a38f4affed601eb87a97788c949667,2017-01-16,2,100.0,5.0,50.06
aae3bfea055532c57fb453ed3ec80b30,2017-01-16,2,100.0,3.5,27.05
aaed1309374718fdd995ee4c58c9dfcd,2017-01-16,1,100.0,5.0,25.38
b1204cfda1d4948679db3cfc0d3cb95c,2017-01-16,1,100.0,5.0,32.56
b14db04aa7881970e83ffa9426897925,2017-01-16,2,100.0,4.0,40.8
b1aaae6b66ad3c40f54b389d7ea4bee0,2017-01-16,1,100.0,1.0,18.43
b2ba3715d723d245138f291a6fe42594,2017-01-16,2,100.0,4.0,10.03
b335c59ab742f751a85db9c411a86739,2017-01-16,1,100.0,3.0,28.44
b76dba6c951ab00dc4edf0a1aa88037e,2017-01-16,6,100.0,2.83,125.82
b92e3c8f9738272ff7c59e111e108d7c,2017-01-16,1,100.0,5.0,41.1
bb135baca94c82fcb731335ad5b04a03,2017-01-16,1,100.0,1.0,84.21
bfd938b22bc99bce1ae60dc602889f52,2017-01-16,1,100.0,5.0,27.45
cca3071e3e9bb7d12640c9fbe2301306,2017-01-16,25,100.0,4.06,24.82
ccc4bbb5f32a6ab2b7066a4130f114e3,2017-01-16,5,100.0,4.25,7.13
d50d79cb34e38265a8649c383dcffd48,2017-01-16,2,100.0,5.0,31.9
d66c305afaec317ebee552073a674429,2017-01-16,1,100.0,4.0,41.06
d98eec89afa3380e14463da2aabaea72,2017-01-16,1,100.0,5.0,111.11
dbb9b48c841a0e39e21f98e1a6b2ec3e,2017-01-16,2,100.0,3.5,52.5
dc317f341ab0e22f39acbd9dbf9b4a1f,2017-01-16,1,100.0,1.0,5.83
dd264199fc8b687ad029de7de6d760e6,2017-01-16,1,100.0,5.0,23.55
de66a66f2dd06bb9ec37aa96987466a3,2017-01-16,1,100.0,4.0,31.64
df560393f3a51e74553ab94004ba5c87,2017-01-16,2,100.0,3.5,46.1
e24fc9fcd865784fb25705606fe3dfe7,2017-01-16,1,100.0,3.0,2.49
e5a38146df062edaf55c38afa99e42dc,2017-01-16,2,100.0,2.5,14.77
ed859002ad59dbf8cf3602696a6c3000,2017-01-16,1,100.0,4.0,7.41
f235413f677777a0738ff215d0184901,2017-01-16,1,100.0,5.0,5.43
f41ce2e25237f9092cd8e6e7516c7a2f,2017-01-16,1,100.0,3.0,69.37
f4aba7c0bca51484c30ab7bdc34bcdd1,2017-01-16,4,100.0,3.25,51.74
fa1c13f2614d7b5c4749cbc52fecda94,2017-01-16,1,100.0,4.0,8.2
